screen_name,tweets
Tigray29631121,33
ArayaBerhe16,62
ami_akel,279
wedikiyar14,188
HeuilSalam,42
LetebrhanGebre1,121
9H01pPY61XY7owQ,32
libafila,10
tigray_micky,28
LLenatamrat,35
Adem29021218,7
BeeHoneyboo,1
HagosYowhana,5
Netsiimm,482
Saar80319635,13
Ou39qpbeLImLpb9,275
Mereim00391645,18
Maylomin21,268
Ted19132639,394
hafti_hagos,254
z_tsiga,70
TewoldeGali,35
eden_fantahun,23
TGebremkael,3
Brikey72181736,124
awtash4,79
1142020TI,29
meazaaxum,97
BrhanGalTigray1,211
LiyaKidane10,276
Lillyanapk,68
ABEL70034304,1
SendelYonas,52
NetsiGual,412
Eyerustekly,196
GwalMoka,2
Mikiyas46665942,104
kidatesfa,162
Mixlal1,298
gg_maychew,94
Astu0543,20
TigrayFirst20,3
SMasharada,106
MahigualMekelle,14
AmareNebeyat,28
EngdaGuesh,84
RasSoloM2,16
Lewhat17,578
Voicehewan,117
KirosawitR,327
rigbe_reda,19
MyTigray6,8
GetishJ,8
Danaittigrawey1,56
AmetebrhanG,3
TDFBlen,2
Sara15640555,293
helenkibrom,50
yodit_lemlem,21
Sabatoge7,11
Hiwot_KN,91
2BoeLsFUCqc08a5,9
TgraweytiMahi,92
NanaB_2010,1
hani_tigraweyti,410
SamriTgraweyti,267
TigVoice,3
Birhan59806393,47
merinalw,10
tsigetigray,23
Elelta99,12
gidey_zenebe,5
DanielBitew3,3
MizeyTigray,24
daamat_yeha,16
Rahelg28239392,41
debidsan,33
Tigray_adi_Seb,184
BrktiYirga,338
MebrahtuHailem4,6
AbeshaWeldu5,3
samrigebres,23
Free_Tigrayyy,642
HaduGal,81
DayanTekle,207
IROBANINA,5
LemlemGebrema13,39
Ferewynigebre,26
sbhat_s,16
rahel_te,2
tberhe2112,6
VshVaj,68
ISYIytAuUVf1p8h,1
itsmelat19,1
Jossi49223516,61
Tigraya64730453,56
IndependentTig8,3
fthi23,7
AmbesaJerG,19
AvelinaAlemayeh,7
WoldeFis,1
shewitom1,243
GaulFifi,247
LukasDani45,2
KengKing13,4
Zeynabzeynab12,1
JenLandolt,4
meridesta5,27
medi_tigray,11
ozlem27531878,43
TsegayBerhane6,228
HailushWedi,4
hangtime4days,1
AGbreslase,1
GereShaba,16
EphremElroe,43
rozah821_tigray,319
sium_dani,3
eElsa38856356,242
MerryGere,17
TsegaSolomon19,15
wegahta70924505,24
mohammed_masu,16
Elshada37075062,34
fana_ru,2
germakial,169
VGt1o,7
Rahwa12586123,2
seminawit,13
geberegziabhire,30
SentaniMimi,9
akzdanyahoocom1,2
KusuWeyenti,225
MahletGale,48
AdwaTGR,23
zimamhoney,34
Segen80355788,7
AskalTegay,237
anter_gol,330
Btibti8,3
gebreslasieabr6,6
FryatHaylu,6
tigray123ey,6
Cigge3,2
mesisye,1
MuuzTigraway,1
mizegs520,11
axumtsion21,10
EyorikaR,181
eGhGj2lQZvX0rIB,4
alugaltigray12,1
TigrayF05729326,33
Tgray4vr,17
EdenBFKN,8
TeklaiE,18
glory07995422,87
